"editor","year","changesets","users"
"JOSM/1.5","2019","5035819","22718"
"JOSM/1.5","2018","4085673","22687"
"JOSM/1.5","2020","3713142","16510"
"JOSM/1.5","2017","3667588","23133"
"JOSM/1.5","2016","3193256","22271"
"JOSM/1.5","2015","3083510","22790"
"Potlatch","2015","500007","24286"
"MAPS.ME ","2017","462556","102375"
"StreetCo","2019","381819","8967"
"MAPS.ME ","2016","373310","96584"
"Potlatch","2016","361129","14901"
"MAPS.ME ","2018","324183","71199"
"MAPS.ME ","2019","284207","55719"
"StreetCo","2018","283826","9764"
"Potlatch","2017","273646","10184"
"StreetCo","2020","239262","7428"
"Potlatch","2018","205891","6598"
"StreetCo","2017","205159","9572"
"Potlatch","2019","161025","5043"
"Go Map!!","2017","112001","1834"
"Go Map!!","2015","110515","1335"
"https_al","2019","103188","3"
"MAPS.ME ","2020","99905","22882"
"Potlatch","2020","80663","2665"
"Go Map!!","2016","71153","1508"
"Vespucci","2015","54808","2075"
"osmapi/1","2020","54282","45"
"Vespucci","2016","53740","2120"
"OsmAnd+ ","2019","51092","2530"
"Merkaart","2015","50301","457"
"OsmAnd~ ","2019","48443","2514"
"Go Map!!","2018","48101","1089"
"Merkaart","2016","40078","409"
"OsmAnd+ ","2018","39432","2447"
"OsmAnd~ ","2018","32340","1883"
"OsmAnd 3","2019","30574","2029"
"Level0 v","2019","30542","252"
"OsmAnd~ ","2020","29245","1687"
"bulk_upl","2019","29159","1"
"OsmAnd+ ","2020","28142","1564"
"Pushpin ","2015","27399","780"
"osmapi/0","2016","26980","71"
"Merkaart","2017","26713","333"
"PythonOs","2015","26656","2"
"Level0 v","2018","25946","233"
"Merkaart","2018","24154","256"
"Level0 v","2017","22722","222"
"reverter","2017","22581","1135"
"OsmAnd+ ","2017","22323","2366"
"Level0 v","2020","20058","222"
"reverter","2018","19986","1265"
"Merkaart","2019","19563","241"
"reverter","2019","19104","1336"
,"2017","17536","1406"
"Level0 v","2016","17500","205"
"Services","2020","16474","3"
"rosemary","2016","16208","2487"
"OsmAnd 3","2018","16038","1177"
"Pushpin ","2016","15187","461"
"reverter","2020","14821","1010"
"OsmAnd+ ","2016","14389","1817"
"osmapi/1","2019","14219","43"
"OsmAnd 3","2020","14129","1235"
"reverter","2016","14051","948"
"upload.p","2017","13797","17"
"rosemary","2017","13703","2345"
"Services","2015","13135","34"
"OsmAnd~ ","2017","12931","1222"
"rosemary","2015","12307","2761"
"Vespucci","2017","11564","1295"
"OsmAnd 2","2018","11267","862"
"Level0 v","2015","10629","174"
"Merkaart","2020","10212","186"
"OsmAnd 2","2017","10127","1402"
"rosemary","2018","9643","1990"
"Vespucci","2018","9406","1461"
"OsmAnd+ ","2015","9165","1152"
,"2016","9005","1581"
"osmapi/1","2018","8924","56"
,"2018","8362","1182"
"osmapi/0","2017","8114","50"
"caresteo","2020","7967","1"
"autoAWS ","2020","7867","1"
"iD 1.8.5","2017","7647","28"
"rocketda","2018","7493","234"
"PythonOs","2017","7433","1"
"https_al","2020","7186","1"
"OsmAnd~ ","2016","7158","842"
"Vespucci","2019","6985","1484"
"autoAWS ","2019","6982","1"
,"2019","6891","1067"
"Pushpin ","2017","6872","230"
,"2015","6713","754"
"railwayz","2019","6368","1"
"osmapi","2016","6344","1"
"FireYak","2019","6138","221"
"OsmHydra","2019","6017","1166"
"Services","2017","5931","12"
"osmapi/0","2018","5822","11"
"autoAWS ","2018","5775","1"
"FireYak","2018","5678","158"
"https://","2018","5627","88"
"Osmose E","2019","5303","379"
"OsmAnd 2","2016","5137","984"
"OsmAnd~ ","2015","5090","430"
"OsmHydra","2018","5062","934"
"FireYak","2017","4981","131"
"Route4U.","2017","4880","1"
"https://","2019","4738","161"
"FireYak","2020","4587","138"
"OsmHydra","2017","4556","866"
"OsmHydra","2020","4508","883"
"Osmose E","2017","4503","284"
"Route4U","2017","4331","1"
"OsmHydra","2016","4228","751"
"OsmHydra","2015","4211","665"
"addr2osm","2019","4116","1"
"streetke","2015","3978","1"
"Route4U ","2015","3862","1"
"Geocropp","2017","3785","50"
"https://","2020","3711","74"
,"2020","3592","575"
"Osmose E","2020","3310","295"
"PythonOs","2016","3288","3"
"Osmose E","2018","3284","276"
"Osmose E","2016","3223","249"
"Ubiflow ","2015","3168","1"
"Crée par","2018","3136","1"
"OpenBeer","2016","3111","6"
"MapRoule","2020","3106","67"
"OsmAnd 2","2015","3103","687"
"schools.","2016","3030","7"
"upload.p","2019","2992","3"
"https://","2017","2948","71"
"Vespucci","2020","2859","969"
"peundeme","2017","2785","34"
"Pic4Revi","2019","2777","518"
"OsmAnd M","2020","2702","216"
"OpenBeer","2017","2644","15"
"ArcGIS E","2018","2620","41"
"rosemary","2019","2614","72"
"b-jazz","2019","2611","1"
"peundeme","2019","2583","48"
"Crée par","2017","2569","1"
"Services","2016","2564","21"
"Osmose E","2015","2542","224"
"Services","2019","2524","8"
"ArcGIS E","2020","2517","26"
"b-jazz","2020","2511","1"
"osmapi/1","2017","2474","17"
"Pic4Revi","2018","2457","250"
"OSM Micr","2019","2442","4"
"geoBingA","2019","2395","3"
"Grass_an","2015","2377","188"
"business","2020","2322","1"
"osmtools","2017","2317","36"
"JOSM 1.6","2020","2168","3"
"Geocropp","2018","2131","37"
"OSM Cont","2019","2128","443"
"OSM Cont","2018","2103","424"
"Refill S","2020","2012","53"
"Go Kaart","2018","1991","9"
"osmtools","2019","1885","23"
"addr2osm","2020","1761","1"
"OsmAndF~","2016","1744","29"
"Crée par","2016","1726","1"
"Osm Go! ","2019","1706","194"
"upload.p","2018","1677","8"
"gnome-ma","2017","1593","421"
"Osm Go! ","2020","1588","227"
"MapRoule","2019","1517","41"
"osmapi/0","2015","1507","48"
"business","2019","1492","1"
"Ubiflow ","2016","1488","1"
"peundeme","2018","1476","42"
"peundeme","2020","1451","29"
"gnome-ma","2019","1419","556"
"rosemary","2020","1415","26"
"MapCompl","2020","1410","120"
"osmapis/","2016","1407","2"
"iD 1.8.5","2016","1402","11"
"osmtools","2018","1400","25"
"JOSM 1.6","2019","1372","13"
"Geocropp","2019","1339","29"
"zażółć 1","2019","1336","2"
"osmtools","2016","1323","34"
"MapContr","2019","1322","314"
"OsmAnd N","2018","1322","24"
"OpenBeer","2015","1313","3"
"IsraelHi","2019","1278","153"
"OsmAnd M","2019","1246","173"
"osmuploa","2020","1221","1"
"Pic4Revi","2020","1220","254"
"OsmAnd 1","2015","1199","326"
"MapContr","2017","1185","243"
"gnome-ma","2018","1112","472"
"Crée par","2020","1111","1"
"IsraelHi","2018","1106","131"
"iD 1.8.5","2018","1095","14"
"Citypedi","2020","1091","1"
"DEVK Ver","2015","1085","1"
"OSM Cont","2017","1077","198"
"OpenVege","2018","1055","1"
"osmapi","2017","1044","2"
"IsraelHi","2020","1043","146"
"osmapi","2018","1031","1"
"Citypedi","2019","1010","1"
"ArcGIS E","2017","1008","87"
"peundeme","2016","1006","27"
"OpenBeer","2018","1003","6"
"Crée par","2019","953","1"
"archINFO","2019","947","1"
"ArcGIS E","2016","940","156"
"zażółć 6","2018","890","1"
"gnome-ma","2020","880","453"
"IsraelHi","2017","866","88"
"OSM Cont","2020","860","193"
"MapContr","2020","856","318"
"ADDR 1.2","2019","852","1"
"FreieTon","2015","848","11"
"RawEdit","2016","843","161"
"OsmAnd 2","2019","838","46"
"TisUgra","2018","836","1"
"PLanes 0","2018","811","66"
"MapContr","2018","809","243"
"YAPIS (2","2015","795","32"
"ArcGIS E","2015","783","67"
"iD 1.6.2","2017","780","1"
"iD 2.1.3","2017","779","1"
"Pushpin ","2018","767","15"
"RevertUI","2018","752","76"
"ArcGIS E","2019","750","40"
"OsmPipel","2020","750","2"
"Redactio","2020","728","1"
"GeoThing","2016","716","20"
"Redactio","2018","685","2"
"osmapis/","2015","676","2"
"gnome-ma","2016","675","247"
"upload.p","2016","672","4"
"carmenho","2017","666","1"
"OsmAnd N","2017","650","11"
"RevertUI","2019","645","83"
"Redactio","2017","633","1"
"BikeOtta","2020","619","1"
"osmtools","2015","615","28"
"RawEdit","2015","613","122"
"Services","2018","611","8"
"iD 1.8.1","2017","608","14"
"RevertUI","2017","601","58"
"SviMik","2019","601","1"
"TrashApp","2019","596","66"
"RevertUI","2020","593","119"
"JOSM 1.6","2015","590","5"
"MapThePa","2020","582","19"
"iD 1.6.2","2015","581","4"
"RawEdit","2017","561","148"
"Zazolc 2","2020","559","2"
"osmtools","2020","557","15"
"osmapi","2019","549","1"
"CanApp","2020","548","1"
"MapContr","2016","546","97"
"Brick","2016","525","49"
"Osm Go! ","2018","524","46"
"osmapis/","2017","521","1"
"geoBingA","2018","519","22"
"OsmAndF~","2017","519","21"
"bulk_upl","2016","517","3"
"OpenVege","2019","510","1"
"zażółć 2","2017","507","1"
"iD 2.7.1","2018","497","2"
"Go Map!!","2020","491","20"
"simple_r","2018","488","22"
"Indic la","2015","474","1"
"zażółć 4","2018","468","1"
"Redactio","2016","458","1"
"Healthsi","2020","452","142"
"addr2osm","2018","451","1"
"PLanes 0","2019","446","69"
"TÜpedia/","2018","439","1"
"OpenBeer","2019","437","5"
"osmapis/","2018","435","1"
"arizonai","2017","428","2"
"Jungle B","2017","422","100"
"Abakus S","2019","417","1"
"OpenMapK","2016","414","2"
"Jungle B","2018","410","79"
"FireYak","2016","409","21"
"Redactio","2019","408","2"
"MapThePa","2019","398","14"
"BikeOtta","2018","394","1"
"Route4U","2016","381","1"
"archINFO","2018","381","1"
"MapThePa","2018","375","15"
"CityZen ","2018","375","65"
"Abakus S","2018","374","1"
"ComRAD","2016","366","12"
"simple_r","2019","364","11"
"Emmanuel","2018","359","2"
"Node.js","2020","358","1"
"Geocropp","2020","350","15"
"iD 2.3.2","2017","349","2"
"wikidata","2016","338","1"
"osmapi","2020","334","1"
"Route4U","2018","333","1"
"zażółć 5","2018","321","1"
"mobileme","2015","320","1"
"OpenRecy","2019","316","30"
"PeanutBu","2019","314","1"
"MMWatch ","2016","312","23"
"OpenMaps","2015","312","182"
"OpenStre","2015","310","20"
"iD 1.8.1","2016","302","9"
"Grass_an","2016","297","43"
"iD 2.2.1","2017","296","1"
"LoPoi 1.","2020","295","20"
"OpenMaps","2016","285","99"
"OsmInEdi","2019","285","38"
"Rocketda","2020","282","4"
"API 0.6","2017","274","12"
"Rocketda","2019","271","4"
"Perlscri","2015","268","1"
"Tracks E","2015","266","37"
"Abakus S","2020","265","1"
"zażółć 3","2018","264","1"
"zażółć 1","2017","262","1"
"BitcoinM","2015","262","1"
"OSM Conf","2019","261","10"
"zażółć 3","2017","258","1"
"zażółć 7","2018","258","1"
"JollyTri","2020","256","1"
"OSMUpdat","2017","255","1"
"CorinaM2","2016","253","1"
"BikeOtta","2019","251","1"
"Brick","2017","244","20"
"API 0.6","2018","243","12"
"stormer","2016","242","1"
"OpenVege","2017","240","1"
"iD 2.2.2","2017","238","1"
"Tabriz S","2017","238","1"
"barnehag","2018","235","1"
"Derivist","2018","234","45"
"upload.p","2020","234","1"
"My Openi","2015","234","70"
"OSM Conf","2018","230","11"
"JOSM 1.6","2018","228","8"
"zażółć 8","2018","227","1"
"RawEdit","2018","220","63"
"Jungle B","2019","218","44"
"barnehag","2017","217","1"
"Redactio","2015","215","1"
"CODAP 0.","2018","214","24"
"osmuploa","2015","214","2"
"iD 2.6.1","2018","213","1"
"YAPIS (2","2016","211","27"
"OSM+Wiki","2017","209","10"
"SketchOS","2019","208","87"
"restore-","2017","204","10"
"zażółć 9","2019","200","1"
"Node.js ","2020","199","1"
"iD 2.5.1","2017","194","1"
"Wemapp S","2017","194","3"
"iD 2.0.2","2017","193","1"
"OSM Micr","2018","192","1"
"Tracks E","2017","191","6"
"tpircs 0","2015","191","1"
"OSMyBiz","2019","191","109"
"SpotOn","2016","191","3"
"Tagger","2017","190","1"
"iD 2.5.1","2018","190","1"
"POI Pond","2015","186","9"
"RevertUI","2016","185","23"
"OsmAnd N","2020","185","4"
"Abakus S","2017","185","1"
"OSMyBiz","2020","184","77"
"Citypedi","2017","183","1"
"JOSM 1.6","2017","183","6"
"OpenStre","2016","182","12"
"iD 2.4.1","2017","177","2"
"Healthsi","2019","176","29"
"CODAP 0.","2017","175","11"
"Sisyphus","2016","171","1"
"zażółć 9","2018","169","1"
"simple_r","2016","169","11"
"Samo_Ani","2016","158","1"
"bulk_upl","2015","155","6"
"OpenMapK","2017","154","2"
"SC_extra","2017","153","1"
"FreieTon","2016","150","3"
"YMM","2018","146","1"
"Mapbudo","2015","145","5"
"Data4All","2015","145","9"
"OpenVege","2020","144","1"
"David Ni","2019","143","1"
"restore-","2019","143","8"
"YAPIS (2","2017","142","25"
"OSMapTun","2015","141","41"
"wikipost","2016","141","1"
"SketchOS","2018","141","60"
"carmenho","2016","140","1"
"OsmAnd 1","2016","138","16"
"iD 2.3.1","2017","137","3"
"jacopo b","2017","137","1"
"CCTVMap","2016","134","3"
"barnehag","2019","134","1"
"MMWatch ","2018","130","7"
"Sparkass","2015","130","2"
"JOSM 1.6","2016","127","3"
"Osmaxil","2017","126","1"
"MMWatch ","2017","126","13"
"Sisyphus","2017","125","1"
"osm2go v","2019","123","1"
"ITOybbag","2016","122","1"
"TeeGschw","2015","121","1"
"Tabriz S","2018","120","1"
"CityZen ","2019","119","50"
"peundeme","2015","118","7"
"Kort (os","2016","117","1"
"osm-elem","2017","115","1"
"Data4All","2017","115","48"
"Kort (os","2017","114","1"
"Symtech ","2019","113","1"
"Jungle B","2020","111","31"
"CityZen ","2017","111","32"
"WITT WEI","2015","110","1"
"OpenBeer","2020","109","4"
"schools.","2017","109","3"
"ssr-api ","2017","109","1"
"archINFO","2020","109","1"
"My Openi","2016","108","37"
"iD 2.1.2","2017","107","1"
"10tora","2016","107","1"
"BusLanes","2020","105","7"
"Firehydr","2018","105","1"
"Route4U","2019","104","1"
"finde.ca","2017","104","7"
"OsmAnd N","2019","103","7"
"zażółć 0","2017","103","1"
"Observe-","2019","102","5"
"me","2017","100","2"
"GrassCla","2015","100","1"
"PieterVd","2020","98","2"
"OpenCity","2017","98","3"
"Beeers","2016","98","1"
"mariakla","2016","96","1"
"gnome-ma","2015","96","2"
"ExploreM","2016","96","1"
"simple_r","2017","93","14"
"upload.p","2015","91","7"
"iD 2.6.0","2018","88","1"
"COFFEEDE","2015","88","37"
"What's N","2018","87","7"
"Brick","2018","87","10"
"UOTFGTES","2018","86","1"
"StreetCo","2016","86","7"
"OpenVege","2016","86","1"
"OpenSide","2018","85","5"
"Nearby E","2019","85","10"
"GNU Emac","2015","84","1"
"places-o","2015","84","2"
"Climb Th","2020","84","2"
"osmapi/0","2019","82","4"
"Tabriz S","2016","82","1"
"OSM Chec","2016","82","2"
"Osm Go! ","2017","80","2"
"Volksban","2015","79","6"
"Pro Seni","2015","78","1"
"Geo Soci","2016","77","2"
"osm2go v","2018","77","2"
"OsmAndF~","2015","76","19"
"Kort (os","2015","76","1"
"geoMapTo","2017","76","25"
"mapthis.","2015","75","1"
"Sisyphus","2018","74","1"
"SketchOS","2020","73","16"
"JOSM","2019","72","10"
"CanApp","2019","72","1"
"OSMSpeed","2015","71","1"
"Rudomap","2015","71","7"
"OpenFire","2015","71","3"
"ExploreP","2018","70","1"
"Tracks E","2016","70","8"
"schleuss","2016","69","1"
"Wemapp(3","2020","68","2"
"restore-","2018","67","12"
"od2osm","2020","67","5"
"iD 2.8.0","2018","65","2"
"IV 1.61","2019","65","2"
"www.forw","2015","64","1"
"Aure1ius","2015","63","1"
"OSM Micr","2017","61","2"
"OsmAnd 2","2020","60","9"
"OpenRecy","2020","60","18"
"geoBingA","2017","59","8"
"Wemapp S","2016","59","1"
"ipopa","2019","58","2"
"PLanes 0","2020","58","19"
"FreieTon","2017","58","2"
"poism","2018","57","5"
"acme osm","2018","57","1"
"Nearby E","2020","56","8"
"iD 2.10.","2018","56","1"
"OnVacati","2017","55","1"
"ANSAR VD","2016","54","1"
"Climb Th","2018","54","2"
"TrashApp","2020","54","6"
"SpotOn","2017","53","4"
"Bus Cont","2017","52","16"
"Osm Go! ","2016","52","2"
"Bucherer","2015","50","25"
"Osmaxil","2015","50","1"
"Barriere","2018","50","2"
"COSM 0.0","2015","49","1"
"Drinking","2016","49","7"
"OuterSpa","2015","49","2"
"OSMUpdat","2018","48","1"
"singletr","2020","48","1"
"hossaini","2016","47","1"
"iD 2.7.0","2018","47","1"
"Kort (os","2018","47","1"
"Cito2016","2016","46","1"
"My Openi","2017","46","20"
"UTK Data","2020","46","1"
"Zazolc 1","2020","46","1"
"finde.ca","2018","45","6"
"YAPIS (2","2018","45","13"
"San Seve","2019","44","1"
"iD 2.8.1","2018","43","1"
"ROGERRE","2016","43","1"
"CorinaM2","2017","42","1"
" Barrier","2018","41","3"
"iD 2.9.2","2018","41","2"
"Citypedi","2016","41","1"
"iD 1.5.4","2015","40","3"
"Sisyphus","2020","39","1"
"osm2go v","2017","39","2"
"iD 2.2.0","2017","39","1"
"osmuploa","2019","39","1"
"OsmAnd 0","2015","38","1"
"parvez12","2016","38","1"
"OpenMaps","2017","37","28"
"BusLanes","2018","36","3"
"gpxhydra","2017","36","1"
"Beate Uh","2015","36","1"
"AndreiTu","2020","36","1"
"barnehag","2020","36","1"
"SearchAr","2016","36","1"
"osm2go v","2020","35","2"
"Sisyphus","2019","34","1"
"togasela","2016","33","1"
"Drinking","2018","33","5"
"glory032","2016","33","1"
"Md Razza","2016","33","1"
"Wemapp S","2018","33","3"
"YMM","2017","33","4"
"Busy Hou","2019","33","12"
"SmartSea","2015","32","3"
"OSM Chec","2015","32","4"
"DOSM","2016","32","1"
"Drinking","2017","32","4"
"Wolford ","2015","31","1"
"Grass an","2015","31","3"
"ricsnog","2017","31","1"
"RoofMapp","2017","31","7"
"JOSM 803","2015","31","1"
"P D Qoro","2016","31","1"
"ibrahim2","2016","30","1"
"TestApp","2015","30","1"
"Nearby E","2018","29","2"
"DOSM","2015","29","2"
"Fahim Ha","2016","29","1"
"OSM Conf","2020","29","6"
"jay yava","2016","29","1"
"RoofMapp","2019","29","10"
"My Openi","2018","28","7"
"zażółć 1","2020","28","1"
"Geoporta","2020","28","6"
"OSM Buil","2018","28","4"
"Versiche","2015","28","25"
"CheckAut","2015","28","1"
"nsr2osm ","2019","27","1"
"wemapp","2016","27","3"
"Derivist","2019","27","8"
"AddisMap","2019","27","4"
"Open Hyd","2015","27","5"
"Milika","2016","27","1"
"Climb Th","2019","27","3"
"Go Map!!","2019","26","9"
"roselyn7","2016","26","1"
"Data4All","2016","26","19"
"Stek JOS","2019","26","1"
"OSMUpdat","2020","26","1"
"JOSM","2018","26","9"
"poism","2020","26","7"
"wikipost","2015","25","1"
"OsmAndF~","2018","25","2"
"user","2017","25","1"
"Busy Hou","2020","25","5"
"iD 2.3.0","2017","25","1"
"ComRAD","2017","25","1"
"OsmAnd 1","2017","24","7"
"iD 2.8.2","2018","24","1"
"restore-","2016","24","8"
"acme osm","2020","24","1"
"CityZen","2017","24","5"
"HouseNum","2017","24","4"
"GummuFor","2019","23","1"
"Route4U","2020","23","1"
"cap4acce","2015","23","2"
"-","2018","23","4"
"What's N","2019","23","8"
"manual","2018","23","2"
"Autohaus","2015","23","11"
"Barriere","2019","23","4"
"Drinking","2015","22","4"
"Dr. Z Za","2015","22","1"
"places-o","2019","22","1"
"BKK VBU","2015","22","3"
"iD 2.5.0","2017","22","1"
"Go info ","2018","22","4"
"Mapzen P","2015","22","9"
"Changese","2015","22","1"
"wendenzo","2015","22","1"
"duronto","2016","22","1"
"Swiss Pe","2016","21","1"
"LoPoi 1.","2019","21","3"
"PlaceMak","2018","21","4"
"COSM 0.0","2016","21","1"
"CityZen ","2020","21","7"
"Cualbond","2018","21","1"
"Cycle Ma","2020","20","1"
"Data4All","2018","20","9"
"What's N","2017","20","1"
"Route4U ","2016","20","1"
"Tracks E","2018","20","4"
"Liberty ","2015","20","1"
"PlaceMak","2017","20","3"
"MOS Webi","2018","20","1"
"nds.wp T","2018","19","1"
"Adooyy","2016","19","1"
"poism","2019","19","2"
"Sabina u","2016","19","1"
"shed 0.1","2016","19","1"
"ourson","2018","18","1"
"OSMyBiz","2018","18","6"
"Planet E","2017","18","1"
"simple_r","2020","18","4"
"Kikimora","2015","18","1"
"Geosocia","2016","18","1"
"SearchAr","2017","17","1"
"rraaddaa","2016","17","1"
"hurden","2016","17","1"
"gpxhydra","2016","17","1"
"Allianz ","2015","17","1"
"ABS-SAY","2016","17","1"
"FixKarls","2016","17","1"
"cartomob","2020","17","1"
"AddisMap","2018","17","2"
"iD 2.4.3","2017","16","1"
"OSM-Rela","2015","16","7"
"nsr2osm ","2020","16","1"
"curl","2015","16","1"
"Icarto, ","2016","16","1"
"http://l","2016","16","2"
"Pio Gaet","2015","16","1"
"Osmosis","2017","16","1"
"DEVK-Hau","2015","16","1"
"CAI","2015","16","1"
" Barrier","2019","16","2"
"Angular-","2016","16","1"
"JaniKoiv","2018","16","1"
"Superadl","2016","16","1"
"aaronsta","2017","16","1"
"bspotted","2015","16","1"
"GLS-67","2017","16","1"
"OsmAndG~","2016","15","4"
"TA8884","2016","15","1"
"romain","2018","15","4"
"wendenzo","2016","15","1"
"bulk_upl","2017","15","1"
"OSMUpdat","2019","15","1"
"Tag Edit","2016","15","2"
"freemap.","2016","15","8"
"finde.ca","2019","15","5"
"Pro-Insi","2017","15","1"
"Derag Li","2015","14","1"
"ATSR Edi","2020","14","1"
"SmartSea","2016","14","3"
"freemap.","2015","14","6"
"OSM-Rela","2017","14","2"
"ExploreM","2015","14","1"
"COFFEEDE","2016","14","7"
"FixStraß","2016","14","1"
"Technoko","2018","14","1"
"Yo Gis","2015","14","1"
"مکانیاب ","2020","13","1"
"Victor's","2015","13","1"
"wikipost","2017","13","1"
"Karen071","2016","13","1"
"API 0.6","2019","13","7"
"iD 2.9.0","2018","13","1"
"OSM Hydr","2015","13","1"
"CCTVMap","2017","13","1"
"Cafe Bou","2015","13","1"
"Buddabre","2018","13","1"
"iD 2.1.1","2017","13","1"
"539h","2015","13","1"
"Softek.i","2017","12","1"
"Rechtsan","2015","12","3"
"osm-bank","2017","12","1"
"","2020","12","2"
"OsmInEdi","2020","12","9"
"-","2016","12","4"
"Synup","2015","12","1"
"C:\Users","2015","12","1"
"mumpot 0","2015","12","1"
"RoofMapp","2016","12","2"
"Shaplakh","2016","12","1"
"Mapcat 0","2018","11","7"
"fergsarm","2016","11","1"
"Restaura","2015","11","11"
"Zahnarzt","2015","11","7"
"iLOE 1.9","2015","11","4"
"Populate","2019","11","3"
"hurden","2017","11","1"
"BKK DEMA","2015","11","1"
"Pro-Insi","2016","11","1"
"iD 2.1.0","2017","11","1"
"Manon&Qu","2015","11","1"
"mdshamim","2016","11","1"
"OsmAnd 1","2018","11","4"
"Smart-Uf","2018","11","1"
"MapContr","2015","11","3"
"Refill S","2019","11","1"
"slayer@G","2016","11","1"
"Fabio","2015","11","1"
"barnehag","2016","11","1"
"ATSR Edi","2017","11","1"
"ANSAR VD","2017","11","1"
"JOSM","2015","11","4"
"Lemeki V","2016","10","1"
"rraaddaa","2015","10","1"
"java_1.8","2020","10","1"
"Residenz","2015","10","1"
"streetwo","2016","10","1"
"rahino(ر","2018","10","5"
"Volkswag","2015","10","1"
"2350743 ","2015","10","1"
"hossaini","2017","10","1"
"Lolotora","2016","10","1"
"Mainzer ","2015","10","1"
"actimond","2015","10","1"
"Fahrschu","2015","10","4"
"BauGrund","2015","10","1"
"mimakter","2016","10","1"
"rahino(ر","2017","9","4"
"Open Sur","2017","9","2"
"Planet E","2019","9","3"
"sheikkil","2018","9","1"
"gloslad","2016","9","1"
"mimakter","2017","9","1"
"wemapp","2017","9","3"
"restore-","2020","9","6"
"JOSM (79","2015","8","1"
"XmaX ios","2017","8","3"
"abc nail","2015","8","1"
"XmaX and","2017","8","5"
"SviMik","2020","8","1"
"cjwind","2017","8","1"
"ccca00","2017","8","1"
"OSM Edit","2015","8","1"
"vickykum","2015","8","2"
"manual r","2017","8","1"
"JOSM","2017","8","3"
"Pearl Ma","2016","8","3"
"Parfümer","2015","8","2"
"bulk_upl","2018","8","4"
"Physioth","2015","8","8"
"BusLanes","2019","8","4"
"manual H","2017","8","1"
"Fraunhof","2015","8","1"
"Thermond","2015","8","1"
"mariakla","2017","8","1"
"Alteryx","2020","7","1"
"Tabroz S","2016","7","1"
"atora","2016","7","1"
"詹竣硯","2016","7","1"
"osm-tool","2015","7","2"
"Perl mod","2017","7","1"
"parceco","2017","7","1"
"iD 2.14.","2019","7","3"
"Aseri","2016","7","1"
"shahadat","2017","7","1"
